open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1690200000000,2.6478000,2.6557000,2.3910000,2.5563000,16849324,1690203599999,42416264.0682000,139149,9315264,23440617.9551000,0
1690203600000,2.5569000,2.5923000,2.4416000,2.4534000,10513084,1690207199999,26531139.9396000,98622,5115547,12928265.0945000,0
1690207200000,2.4534000,2.4696000,2.1716000,2.2699000,29348832,1690210799999,66935537.8117000,207400,14366418,32769101.4602000,0
1690210800000,2.2698000,2.2927000,2.1510000,2.2274000,21175385,1690214399999,46907601.3228000,194244,10625202,23556277.8217000,0
1690214400000,2.2262000,2.3535000,2.2132000,2.2776000,17822469,1690217999999,40645570.5451000,159251,9106618,20776276.1291000,0
1690218000000,2.2774000,2.2785000,2.1149000,2.1822000,18376748,1690221599999,40162193.1497000,189430,8686162,18987866.6303000,0
1690221600000,2.1823000,2.2537000,2.1360000,2.2052000,10939922,1690225199999,24065951.2722000,126902,5881709,12948048.3579000,0
1690225200000,2.2046000,2.2300000,2.1330000,2.1479000,6819612,1690228799999,14919282.7028000,80180,3207458,7020774.5010000,0
1690228800000,2.1479000,2.1724000,2.0338000,2.0578000,12834026,1690232399999,26990192.3760000,135749,5925501,12485410.4522000,0
1690232400000,2.0580000,2.1268000,1.9942000,2.0945000,16605865,1690235999999,34020783.0970000,134808,8315802,17044319.6877000,0
1690236000000,2.0945000,2.1680000,2.0690000,2.1272000,14370583,1690239599999,30402834.0419000,121278,7176857,15190193.4640000,0
1690239600000,2.1268000,2.2275000,2.0998000,2.1592000,12688500,1690243199999,27283220.4245000,101568,6708768,14447413.7047000,0
1690243200000,2.1589000,2.2688000,2.1330000,2.2016000,15795849,1690246799999,34734931.1898000,129558,7997124,17595248.7708000,0
1690246800000,2.2023000,2.2226000,2.0856000,2.1242000,11303193,1690250399999,24212723.0636000,90030,5547935,11878726.5788000,0
1690250400000,2.1240000,2.1610000,1.8290000,1.9347000,29361204,1690253999999,57520274.6098000,210504,13886196,27186673.8341000,0
1690254000000,1.9361000,1.9850000,1.9040000,1.9622000,11285042,1690257599999,21794622.3810000,89799,6032852,11662295.6662000,0
1690257600000,1.9622000,1.9790000,1.9220000,1.9480000,9893153,1690261199999,19301321.3171000,77396,5135059,10024304.1700000,0
1690261200000,1.9485000,2.1000000,1.9480000,2.0503000,18409450,1690264799999,37146083.6763000,144991,9666214,19514686.2022000,0
1690264800000,2.0503000,2.0509000,1.9900000,2.0351000,11643565,1690268399999,23578971.6106000,88925,5698224,11544237.3718000,0
1690268400000,2.0351000,2.0900000,1.9600000,2.0036000,13243295,1690271999999,26642681.4241000,105734,6589339,13267739.0106000,0
1690272000000,2.0033000,2.0417000,1.9353000,2.0090000,13921237,1690275599999,27800184.2323000,115692,7371955,14734034.0423000,0
1690275600000,2.0095000,2.0350000,1.9883000,2.0140000,9720730,1690279199999,19589682.5661000,83043,4988265,10055570.3818000,0
1690279200000,2.0136000,2.1900000,1.9924000,2.0839000,23880434,1690282799999,50100810.5705000,200403,12428606,26090778.8033000,0
1690282800000,2.0835000,2.1600000,2.0831000,2.1346000,15536123,1690286399999,32966081.9230000,132365,8113269,17221954.0577000,0
1690286400000,2.1337000,2.1343000,2.0850000,2.1178000,10660850,1690289999999,22544081.6163000,101245,5419785,11466860.6611000,0
1690290000000,2.1175000,2.2630000,2.1079000,2.2424000,31777528,1690293599999,69694566.8699000,246070,17268926,37879356.4690000,0
1690293600000,2.2422000,2.4586000,2.2100000,2.3983000,65257870,1690297199999,152741247.1037000,416628,34793313,81465259.0924000,0
1690297200000,2.3982000,2.4333000,2.2344000,2.2746000,54353930,1690300799999,126927677.9522000,354468,26331593,61511906.2424000,0
1690300800000,2.2745000,2.3560000,2.1800000,2.2030000,36223705,1690304399999,81960592.0694000,271752,18174430,41182654.3928000,0
1690304400000,2.2033000,2.2700000,2.1600000,2.1845000,19435857,1690307999999,43072503.7190000,179185,10004918,22174708.1655000,0
1690308000000,2.1855000,2.2365000,2.1650000,2.1969000,9894017,1690311599999,21782070.4887000,102469,5251982,11568386.6556000,0
1690311600000,2.1970000,2.2562000,2.1650000,2.2064000,8790964,1690315199999,19437913.3272000,86302,4525602,10015087.7224000,0
1690315200000,2.2063000,2.2827000,2.1827000,2.2383000,10144334,1690318799999,22573919.4589000,104718,5372655,11959539.4633000,0
1690318800000,2.2382000,2.3450000,2.2352000,2.2564000,17287317,1690322399999,39584177.4273000,173681,8723515,19981203.7202000,0
1690322400000,2.2560000,2.3150000,2.2414000,2.2919000,8293564,1690325999999,18871932.4057000,88422,4255028,9685317.7622000,0
1690326000000,2.2920000,2.2980000,2.2222000,2.2560000,7532608,1690329599999,17031768.3642000,76401,3610091,8165846.4425000,0
1690329600000,2.2559000,2.4000000,2.2230000,2.3640000,18598069,1690333199999,42992751.1935000,154758,9894631,22883449.3232000,0
1690333200000,2.3634000,2.3975000,2.2961000,2.3186000,14153594,1690336799999,33174675.8860000,119828,6780551,15902129.5582000,0
1690336800000,2.3186000,2.4382000,2.2857000,2.3955000,17254434,1690340399999,40832388.4566000,150337,9170483,21707056.5731000,0
