open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1725148800000,58941.90,59052.70,58872.00,58905.40,1896.832,1725152399999,111840062.66910,38132,1074.962,63385987.30710,0
1725152400000,58905.30,58934.90,58800.00,58804.10,1978.701,1725155999999,116469140.26680,39164,932.351,54884083.18920,0
1725156000000,58804.10,58830.80,58250.00,58513.10,12370.124,1725159599999,723545972.05310,169032,5965.787,348941563.82760,0
1725159600000,58513.10,58652.90,58352.70,58501.60,4842.380,1725163199999,283437518.96710,67110,2281.402,133573518.74070,0
1725163200000,58501.60,58575.70,58320.20,58410.90,4410.898,1725166799999,257804066.51700,61080,1972.557,115327508.00330,0
1725166800000,58411.00,58440.00,57728.60,57951.00,19787.100,1725170399999,1148097280.67920,238868,8563.647,496868242.54350,0
1725170400000,57951.00,58266.40,57915.00,58162.90,5991.155,1725173999999,348203331.78910,90408,3101.108,180229104.13380,0
1725174000000,58162.90,58463.80,58098.90,58444.10,6787.334,1725177599999,395602990.29810,88767,3784.273,220601747.21210,0
1725177600000,58444.10,58469.90,58168.30,58207.00,4958.427,1725181199999,289105427.96770,68670,2055.028,119831637.52270,0
1725181200000,58207.00,58370.00,58112.00,58176.00,4002.890,1725184799999,233123671.37840,62761,2042.574,118975226.61360,0
1725184800000,58176.00,58196.30,57858.10,57899.00,7714.550,1725188399999,447413095.73790,103956,3569.262,207013602.06380,0
1725188400000,57898.90,58212.00,57800.00,58208.00,7102.736,1725191999999,412038775.56050,88576,4116.692,238847349.77260,0
1725192000000,58208.10,58286.00,57880.00,57984.40,6694.907,1725195599999,388838693.23430,89008,2722.761,158148516.43170,0
1725195600000,57984.50,58191.00,57651.00,58136.50,12309.319,1725199199999,713336350.92410,159157,6154.660,356798927.50820,0
1725199200000,58136.50,58148.90,57123.00,57847.20,32745.018,1725202799999,1890029069.81160,370314,15687.683,905848505.60970,0
1725202800000,57847.20,58345.30,57707.60,58184.10,13100.737,1725206399999,760871417.12440,159730,6962.478,404351874.88610,0
1725206400000,58184.10,58319.90,58044.00,58099.90,6572.298,1725209999999,382326102.34850,100206,2993.849,174185448.28690,0
1725210000000,58099.90,58174.20,57834.00,58090.20,5324.432,1725213599999,308666687.06770,88351,2530.508,146707371.72820,0
1725213600000,58090.10,58787.20,58083.70,58502.50,13263.805,1725217199999,775433650.76980,167871,7104.498,415330446.77930,0
1725217200000,58502.50,58740.00,58253.00,58480.80,6731.908,1725220799999,393624874.93550,108158,3184.584,186203340.67690,0
1725220800000,58480.80,58626.30,58342.80,58391.70,3547.668,1725224399999,207533827.95110,66488,1483.479,86790837.62090,0
1725224400000,58391.70,58401.00,58056.00,58312.70,3573.152,1725227999999,208029427.99540,65692,1681.134,97882691.75210,0
1725228000000,58312.80,58391.70,57210.00,57273.00,23838.340,1725231599999,1372253174.64640,290725,10958.407,630721316.32120,0
1725231600000,57273.00,57580.60,57161.10,57268.10,13365.203,1725235199999,766271200.04540,191164,6988.811,400760222.32590,0
1725235200000,57268.10,57623.80,57093.00,57443.70,14440.243,1725238799999,828284282.65390,177831,7432.985,426401731.42850,0
1725238800000,57443.80,57557.90,57205.80,57390.60,7835.656,1725242399999,449534808.38000,114820,3887.156,223038983.66940,0
1725242400000,57390.60,57691.30,57259.60,57471.30,9878.202,1725245999999,567885835.51380,117952,4695.482,269927709.21790,0
1725246000000,57471.20,57735.00,57463.00,57708.70,8363.758,1725249599999,481896719.70620,121594,4584.754,264172971.38580,0
1725249600000,57708.60,57745.00,57422.20,57431.10,4545.571,1725253199999,261683737.88720,81989,2185.515,125813244.35890,0
1725253200000,57431.20,57966.90,57423.00,57751.90,6898.207,1725256799999,398232574.82020,103552,3881.623,224084490.67770,0
1725256800000,57751.90,57859.70,57642.60,57661.00,3913.687,1725260399999,225960577.88790,62355,1741.459,100550663.88460,0
1725260400000,57661.00,57767.30,57316.60,57523.20,7031.168,1725263999999,404381006.29240,95620,3428.265,197187865.87410,0
1725264000000,57523.30,58287.40,57487.70,58026.40,16804.026,1725267599999,974907356.15420,209128,8898.531,516108820.03920,0
1725267600000,58026.30,58447.20,57873.60,58365.40,12906.711,1725271199999,750456896.68860,170976,6932.571,403177735.80080,0
1725271200000,58367.00,58563.80,58253.10,58468.00,11151.048,1725274799999,651306394.14090,157240,5678.761,331717215.78020,0
1725274800000,58467.50,58639.00,58318.10,58396.00,8630.746,1725278399999,504759677.35110,112747,4041.287,236354029.27490,0
1725278400000,58395.90,58483.00,58218.30,58356.00,6703.771,1725281999999,390975268.51490,90995,3353.843,195604464.26400,0
1725282000000,58355.50,58466.00,58125.00,58154.10,6857.891,1725285599999,399499450.48060,98859,3460.211,201592301.59350,0
1725285600000,58154.10,58783.00,58075.00,58579.80,17216.106,1725289199999,1007568444.80340,214458,9486.989,555302718.67230,0
1725289200000,58579.80,58720.00,58461.50,58508.00,6354.625,1725292799999,372340162.20900,100502,3146.358,184384621.03130,0
