open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1714521600000,60651.20,60816.70,60060.60,60217.20,10900.384,1714525199999,658389649.47060,188405,5144.880,310746587.70580,0
1714525200000,60217.30,60389.00,59833.00,60110.60,11290.556,1714528799999,678674707.25380,188729,5537.008,332845867.49210,0
1714528800000,60110.60,60159.20,59555.00,59902.40,13309.707,1714532399999,795510076.84800,192611,6486.640,387720226.17880,0
1714532400000,59902.30,60294.80,59873.00,60214.00,6341.794,1714535999999,381034849.71890,102841,3384.619,203365851.48160,0
1714536000000,60214.00,60331.80,60156.20,60262.60,4701.579,1714539599999,283261273.16420,74167,2326.058,140147176.78590,0
1714539600000,60262.60,60317.10,59923.40,60030.10,7410.252,1714543199999,445225930.82710,108058,3343.902,200926558.18710,0
1714543200000,60030.10,60093.80,59455.60,59504.00,10437.072,1714546799999,623576770.98200,158477,4608.191,275380472.31680,0
1714546800000,59504.00,59553.80,57030.00,57482.00,89034.023,1714550399999,5171198473.40371,1054612,39494.768,2292926150.65078,0
1714550400000,57482.00,57573.40,56537.70,57153.10,52439.249,1714553999999,2989604683.05565,656578,24688.205,1407841791.71547,0
1714554000000,57153.00,57640.00,57016.80,57090.00,20996.732,1714557599999,1203278810.48051,284913,10707.431,613679771.23159,0
1714557600000,57090.00,57753.60,56855.00,57742.70,19944.004,1714561199999,1142762857.84546,269854,10471.880,600096560.92475,0
1714561200000,57742.70,57881.00,57433.00,57862.10,11939.642,1714564799999,688496907.06510,171750,5534.969,319204155.10290,0
1714564800000,57862.20,58257.80,57693.80,57946.30,20476.181,1714568399999,1187948234.76310,265654,10185.833,590994691.33200,0
1714568400000,57946.30,57975.00,57142.60,57283.40,24236.777,1714571999999,1394832985.43130,300353,11448.780,658881886.15360,0
1714572000000,57283.50,57575.00,57035.40,57461.50,18235.903,1714575599999,1045592616.67731,258155,9494.551,544475069.01499,0
1714575600000,57461.50,57496.80,56651.20,56865.20,23722.161,1714579199999,1351372231.29854,304217,11422.240,650681158.26462,0
1714579200000,56865.30,57434.70,56729.90,57021.70,17948.888,1714582799999,1024610490.94781,246973,9060.068,517215140.17837,0
1714582800000,57021.70,57760.00,56600.00,57398.60,19540.450,1714586399999,1117335985.38597,255411,10189.126,582838376.96280,0
1714586400000,57398.50,59438.20,57256.70,58884.40,68962.061,1714589999999,4024720328.18780,800400,35288.866,2059995057.42290,0
1714590000000,58884.40,59232.80,56860.00,56935.70,56904.011,1714593599999,3292546803.68534,672067,26198.473,1515841012.83624,0
1714593600000,56935.70,57518.00,56729.00,57334.20,18836.915,1714597199999,1076818660.44164,263409,9846.055,562923761.07312,0
1714597200000,57334.10,58147.10,57231.10,57888.00,13757.340,1714600799999,794714044.40070,181339,7587.927,438271681.11720,0
1714600800000,57888.00,58188.60,57824.50,57857.90,8709.594,1714604399999,505117795.90010,122479,4141.004,240207290.81540,0
1714604400000,57858.00,58550.80,57800.00,58307.60,14033.125,1714607999999,817299483.39220,157165,7805.116,454694521.23420,0
1714608000000,58307.70,58571.10,57616.00,57736.50,14483.719,1714611599999,841348686.63370,197074,6607.975,383963912.17030,0
1714611600000,57736.40,57873.30,56951.60,57096.60,17976.843,1714615199999,1030200396.04941,234732,8087.005,463420296.67868,0
1714615200000,57096.50,57627.20,57087.90,57439.10,10036.336,1714618799999,575575293.05410,137162,5536.530,317601126.45350,0
1714618800000,57439.10,57661.50,57344.90,57407.60,6145.515,1714622399999,353391623.62580,92371,2975.724,171132501.02440,0
1714622400000,57407.70,57619.00,57274.00,57373.00,4694.508,1714625999999,269666932.84120,78553,2109.159,121169970.99850,0
1714626000000,57372.90,57514.00,57175.40,57463.20,6164.966,1714629599999,353646319.04910,97879,3340.785,191670837.60450,0
1714629600000,57463.10,57710.40,57379.60,57600.70,6342.244,1714633199999,365120160.81280,103276,3451.388,198713312.35480,0
1714633200000,57600.80,57933.10,57592.50,57645.00,7441.477,1714636799999,429641487.67640,113492,3924.588,226616474.71430,0
1714636800000,57645.00,57949.50,57572.90,57804.60,8250.524,1714640399999,476980460.29470,124762,4333.470,250534087.71370,0
1714640400000,57804.60,57867.50,57615.00,57775.70,5708.662,1714643999999,329571286.67970,91052,2823.638,163028677.98580,0
1714644000000,57775.80,57890.30,57542.40,57775.50,7421.889,1714647599999,428378623.78250,105351,3558.450,205436152.61620,0
1714647600000,57775.60,58696.60,57759.00,58538.40,32954.341,1714651199999,1921037318.08230,346881,17837.594,1039908345.29510,0
1714651200000,58538.50,59089.50,58423.50,58533.00,27624.395,1714654799999,1623478152.20770,325290,13565.238,797349653.74520,0
1714654800000,58532.90,58768.60,58186.70,58429.50,20831.255,1714658399999,1218167045.96030,258323,9761.154,570948792.89760,0
1714658400000,58429.60,59288.40,58245.70,59015.80,32571.415,1714661999999,1914400864.33070,362695,17362.824,1020746331.55000,0
1714662000000,59015.80,59441.60,58931.60,59230.70,16097.295,1714665599999,953338644.92340,240992,7807.870,462448856.14350,0
1714665600000,59230.80,59279.70,58895.60,58989.20,9634.202,1714669199999,568689524.48150,175911,4117.077,243036560.49700,0
1714669200000,58989.20,59262.60,58916.90,59170.00,7921.085,1714672799999,468004901.13950,140566,4019.858,237532622.41070,0
1714672800000,59169.90,59557.40,58951.00,59354.00,13245.570,1714676399999,785190651.24740,194898,6798.938,403114720.29060,0
1714676400000,59354.10,59354.10,58994.40,59324.40,7579.071,1714679999999,448427080.14060,133656,3875.135,229295897.79610,0
1714680000000,59324.50,59409.20,58594.40,58691.40,14825.323,1714683599999,873873383.48960,181361,6450.650,380224047.35230,0
1714683600000,58691.30,59637.30,58663.80,59085.10,11989.546,1714687199999,709596601.13070,156790,6845.313,405158459.87460,0
1714687200000,59085.10,59423.00,59043.80,59300.80,5691.238,1714690799999,337339333.66460,108806,2974.837,176328347.98030,0
1714690800000,59300.90,59350.00,59027.30,59036.70,3597.883,1714694399999,212904347.76280,76318,1585.049,93813241.26740,0
1714694400000,59036.70,59115.20,58781.30,59007.80,6607.426,1714697999999,389564898.35860,111500,3104.478,183062072.96120,0
1714698000000,59007.70,59476.00,58974.10,59284.80,7825.859,1714701599999,464200299.79490,140896,3906.975,231705796.18630,0
1714701600000,59284.90,59888.00,59228.90,59516.70,12829.400,1714705199999,765072974.74440,178166,6880.634,410326520.35010,0
1714705200000,59516.60,59976.90,59470.80,59687.90,9534.366,1714708799999,569910566.50180,139874,4776.822,285530555.36300,0
1714708800000,59687.90,59810.00,59511.00,59571.00,4315.295,1714712399999,257356634.06220,82404,1996.080,119054937.11430,0
1714712400000,59571.00,59592.30,59429.80,59495.00,4703.320,1714715999999,279886560.69130,76015,2233.270,132911550.88080,0
1714716000000,59495.00,59537.80,59200.00,59220.30,5759.284,1714719599999,341812148.46930,95860,2404.622,142726097.41340,0
1714719600000,59220.40,59421.40,59031.50,59158.10,8942.083,1714723199999,529642641.41690,125898,4640.114,274889453.43010,0
1714723200000,59158.10,59365.00,59108.10,59199.90,4817.487,1714726799999,285435602.20320,85976,2460.698,145809649.68020,0
1714726800000,59199.90,59562.90,59166.70,59445.30,5534.035,1714730399999,328642247.05720,94573,3198.498,189950395.56080,0
1714730400000,59445.30,59459.20,58818.20,59009.00,11484.625,1714733999999,678299116.38240,151004,4804.870,283691335.12180,0
1714734000000,59009.10,59417.40,58828.50,59269.30,9720.121,1714737599999,574507579.86860,137969,5188.220,306644967.96420,0
1714737600000,59269.40,60737.70,58970.50,60604.80,50063.914,1714741199999,3009108748.11960,571801,26883.664,1615875530.32790,0
1714741200000,60604.70,61888.00,60482.30,61654.10,56036.116,1714744799999,3432691563.44550,663148,29483.263,1806483817.19060,0
1714744800000,61654.00,62239.60,61349.00,61598.10,34461.371,1714748399999,2126099072.78390,444021,16898.487,1043255786.35540,0
