open_time,open,high,low,close,volume,close_time,quote_volume,MACD,Signal,MACD_Histogram
2023-07-24 12:00:00,2.6478,2.6557,2.391,2.5563,16849324,2023-07-24 12:59:59.999,42416264.0682,,,
2023-07-24 13:00:00,2.5569,2.5923,2.4416,2.4534,10513084,2023-07-24 13:59:59.999,26531139.9396,,,
2023-07-24 14:00:00,2.4534,2.4696,2.1716,2.2699,29348832,2023-07-24 14:59:59.999,66935537.8117,,,
2023-07-24 15:00:00,2.2698,2.2927,2.151,2.2274,21175385,2023-07-24 15:59:59.999,46907601.3228,,,
2023-07-24 16:00:00,2.2262,2.3535,2.2132,2.2776,17822469,2023-07-24 16:59:59.999,40645570.5451,,,
2023-07-24 17:00:00,2.2774,2.2785,2.1149,2.1822,18376748,2023-07-24 17:59:59.999,40162193.1497,,,
2023-07-24 18:00:00,2.1823,2.2537,2.136,2.2052,10939922,2023-07-24 18:59:59.999,24065951.2722,,,
2023-07-24 19:00:00,2.2046,2.23,2.133,2.1479,6819612,2023-07-24 19:59:59.999,14919282.7028,,,
2023-07-24 20:00:00,2.1479,2.1724,2.0338,2.0578,12834026,2023-07-24 20:59:59.999,26990192.376,,,
2023-07-24 21:00:00,2.058,2.1268,1.9942,2.0945,16605865,2023-07-24 21:59:59.999,34020783.097,,,
2023-07-24 22:00:00,2.0945,2.168,2.069,2.1272,14370583,2023-07-24 22:59:59.999,30402834.0419,,,
2023-07-24 23:00:00,2.1268,2.2275,2.0998,2.1592,12688500,2023-07-24 23:59:59.999,27283220.4245,,,
2023-07-25 00:00:00,2.1589,2.2688,2.133,2.2016,15795849,2023-07-25 00:59:59.999,34734931.1898,,,
2023-07-25 01:00:00,2.2023,2.2226,2.0856,2.1242,11303193,2023-07-25 01:59:59.999,24212723.0636,,,
2023-07-25 02:00:00,2.124,2.161,1.829,1.9347,29361204,2023-07-25 02:59:59.999,57520274.6098,,,
2023-07-25 03:00:00,1.9361,1.985,1.904,1.9622,11285042,2023-07-25 03:59:59.999,21794622.381,,,
2023-07-25 04:00:00,1.9622,1.979,1.922,1.948,9893153,2023-07-25 04:59:59.999,19301321.3171,,,
2023-07-25 05:00:00,1.9485,2.1,1.948,2.0503,18409450,2023-07-25 05:59:59.999,37146083.6763,,,
2023-07-25 06:00:00,2.0503,2.0509,1.99,2.0351,11643565,2023-07-25 06:59:59.999,23578971.6106,,,
2023-07-25 07:00:00,2.0351,2.09,1.96,2.0036,13243295,2023-07-25 07:59:59.999,26642681.4241,,,
2023-07-25 08:00:00,2.0033,2.0417,1.9353,2.009,13921237,2023-07-25 08:59:59.999,27800184.2323,,,
2023-07-25 09:00:00,2.0095,2.035,1.9883,2.014,9720730,2023-07-25 09:59:59.999,19589682.5661,-0.1137100402688711,,
2023-07-25 10:00:00,2.0136,2.19,1.9924,2.0839,23880434,2023-07-25 10:59:59.999,50100810.5705,-0.10311325857031406,,
2023-07-25 11:00:00,2.0835,2.16,2.0831,2.1346,15536123,2023-07-25 11:59:59.999,32966081.923,-0.08959141241252322,,
2023-07-25 12:00:00,2.1337,2.1343,2.085,2.1178,10660850,2023-07-25 12:59:59.999,22544081.6163,-0.07931655958334227,,
2023-07-25 13:00:00,2.1175,2.263,2.1079,2.2424,31777528,2023-07-25 13:59:59.999,69694566.8699,-0.060422967656395876,,
2023-07-25 14:00:00,2.2422,2.4586,2.21,2.3983,65257870,2023-07-25 14:59:59.999,152741247.1037,-0.03249524785429969,,
2023-07-25 15:00:00,2.3982,2.4333,2.2344,2.2746,54353930,2023-07-25 15:59:59.999,126927677.9522,-0.02011204575460246,,
2023-07-25 16:00:00,2.2745,2.356,2.18,2.203,36223705,2023-07-25 16:59:59.999,81960592.0694,-0.01589259059666759,,
2023-07-25 17:00:00,2.2033,2.27,2.16,2.1845,19435857,2023-07-25 17:59:59.999,43072503.719,-0.013881420993195448,-0.0494683263316754,0.035586905338479954
2023-07-25 18:00:00,2.1855,2.2365,2.165,2.1969,9894017,2023-07-25 18:59:59.999,21782070.4887,-0.011158351691406665,-0.04180633140362166,0.030647979712214994
2023-07-25 19:00:00,2.197,2.2562,2.165,2.2064,8790964,2023-07-25 19:59:59.999,19437913.3272,-0.008139897375858851,-0.0350730445980691,0.026933147222210248
2023-07-25 20:00:00,2.2063,2.2827,2.1827,2.2383,10144334,2023-07-25 20:59:59.999,22573919.4589,-0.003137519808112277,-0.028685939640077738,0.02554841983196546
2023-07-25 21:00:00,2.2382,2.345,2.2352,2.2564,17287317,2023-07-25 21:59:59.999,39584177.4273,0.0022613517313829767,-0.022496481365785595,0.02475783309716857
2023-07-25 22:00:00,2.256,2.315,2.2414,2.2919,8293564,2023-07-25 22:59:59.999,18871932.4057,0.009297375282481202,-0.016137710036132236,0.025435085318613437
2023-07-25 23:00:00,2.292,2.298,2.2222,2.256,7532608,2023-07-25 23:59:59.999,17031768.3642,0.011840158688242841,-0.01054213629125722,0.02238229497950006
2023-07-26 00:00:00,2.2559,2.4,2.223,2.364,18598069,2023-07-26 00:59:59.999,42992751.1935,0.02231282194132378,-0.00397114464474102,0.0262839665860648
2023-07-26 01:00:00,2.3634,2.3975,2.2961,2.3186,14153594,2023-07-26 01:59:59.999,33174675.886,0.026641970393836534,0.002151478362974491,0.024490492030862045
2023-07-26 02:00:00,2.3186,2.4382,2.2857,2.3955,17254434,2023-07-26 02:59:59.999,40832388.4566,0.03586461410570463,0.00889410551152052,0.02697050859418411
2023-07-26 03:00:00,2.3956,2.5077,2.381,2.4658,28998981,2023-07-26 03:59:59.999,71082536.6167,0.048289595770492966,0.01677320356331501,0.03151639220717796
2023-07-26 04:00:00,2.4655,2.5569,2.42,2.4744,27069031,2023-07-26 04:59:59.999,66983063.1565,0.058159999117316286,0.02505056267411527,0.03310943644320102
2023-07-26 05:00:00,2.4744,2.53,2.4012,2.501,21631233,2023-07-26 05:59:59.999,53297281.5301,0.06735236642189513,0.03351092342367124,0.033841442998223885
2023-07-26 06:00:00,2.5009,2.5161,2.336,2.383,23645897,2023-07-26 06:59:59.999,57450121.499,0.06437370984944923,0.03968348070882684,0.024690229140622397
2023-07-26 07:00:00,2.383,2.42,2.3401,2.3813,18533969,2023-07-26 07:59:59.999,44072453.0571,0.06117078849098645,0.04398094226525877,0.01718984622572768
2023-07-26 08:00:00,2.3816,2.393,2.314,2.3564,16562347,2023-07-26 08:59:59.999,39029422.6346,0.05597794938118206,0.04638034368844343,0.009597605692738626
2023-07-26 09:00:00,2.3562,2.39,2.3396,2.3532,12354765,2023-07-26 09:59:59.999,29235663.7161,0.051016289686820926,0.04730753288811893,0.003708756798701994
2023-07-26 10:00:00,2.3533,2.441,2.345,2.4203,13608696,2023-07-26 10:59:59.999,32482026.2688,0.05190027380449447,0.04822608107139404,0.0036741927331004273
2023-07-26 11:00:00,2.4203,2.431,2.304,2.3402,17859160,2023-07-26 11:59:59.999,42306953.6723,0.045611654252192935,0.04770319570755382,-0.0020915414553608833
2023-07-26 12:00:00,2.3403,2.354,2.3137,2.3205,11834695,2023-07-26 12:59:59.999,27639875.6193,0.038593372218313604,0.04588123100970578,-0.007287858791392175
2023-07-26 13:00:00,2.3206,2.33,2.217,2.2563,26127868,2023-07-26 13:59:59.999,59206625.1338,0.027533540172188342,0.04221169284220229,-0.014678152670013947
2023-07-26 14:00:00,2.2563,2.2825,2.2381,2.2478,8979983,2023-07-26 14:59:59.999,20302841.6812,0.017876594379101718,0.037344673149582175,-0.019468078770480457
2023-07-26 15:00:00,2.2478,2.3234,2.2475,2.298,8380913,2023-07-26 15:59:59.999,19161455.943,0.014111447739172167,0.032698028067500176,-0.01858658032832801
2023-07-26 16:00:00,2.2979,2.3222,2.242,2.2751,9428357,2023-07-26 16:59:59.999,21515416.6162,0.009173951679522396,0.027993212789904624,-0.018819261110382228
2023-07-26 17:00:00,2.275,2.3127,2.26,2.2779,5453081,2023-07-26 17:59:59.999,12458243.1328,0.005424358451254552,0.02347944192217461,-0.01805508347092006
2023-07-26 18:00:00,2.2779,2.365,2.2714,2.3383,12058514,2023-07-26 18:59:59.999,27995067.163,0.0072430605265294545,0.020232165643045582,-0.012989105116516127
2023-07-26 19:00:00,2.3383,2.3384,2.2917,2.3262,5012283,2023-07-26 19:59:59.999,11617340.5179,0.007620185394319634,0.017709769593300395,-0.010089584198980761
2023-07-26 20:00:00,2.3262,2.3844,2.14,2.2,31785356,2023-07-26 20:59:59.999,71160259.1313,-0.0022384225912497335,0.01372013115639037,-0.015958553747640103
2023-07-26 21:00:00,2.2,2.348,2.1883,2.2627,18744533,2023-07-26 21:59:59.999,42362567.6827,-0.004935184715655794,0.009989067981981138,-0.014924252697636932
2023-07-26 22:00:00,2.2627,2.2762,2.2328,2.2605,4710318,2023-07-26 22:59:59.999,10621980.4102,-0.007167289688160938,0.006557796447952723,-0.013725086136113661
2023-07-26 23:00:00,2.261,2.2619,2.2247,2.2501,3976908,2023-07-26 23:59:59.999,8931254.4534,-0.009664040994958878,0.0033134289593704028,-0.01297746995432928
2023-07-27 00:00:00,2.2501,2.3183,2.2239,2.2889,6993008,2023-07-27 00:59:59.999,15904518.2369,-0.00841489696473019,0.0009677637745502845,-0.009382660739280475
2023-07-27 01:00:00,2.2891,2.3007,2.2463,2.2644,4408876,2023-07-27 01:59:59.999,10002846.2682,-0.009294742559682323,-0.0010847374922962369,-0.008210005067386086
2023-07-27 02:00:00,2.2644,2.297,2.2411,2.277,4404453,2023-07-27 02:59:59.999,9988149.2697,-0.008873029079263794,-0.0026423958096897485,-0.006230633269574046
2023-07-27 03:00:00,2.2768,2.2877,2.2578,2.2622,3326955,2023-07-27 03:59:59.999,7553565.9647,-0.009622136419912941,-0.004038343931734387,-0.005583792488178554
2023-07-27 04:00:00,2.2615,2.2625,2.2264,2.248,6049267,2023-07-27 04:59:59.999,13567536.7836,-0.011232153437003678,-0.005477105832788246,-0.005755047604215432
2023-07-27 05:00:00,2.248,2.2732,2.2211,2.2476,4955823,2023-07-27 05:59:59.999,11167380.8656,-0.012397469864217303,-0.006861178639074058,-0.005536291225143245
2023-07-27 06:00:00,2.2477,2.2779,2.205,2.2223,5262235,2023-07-27 06:59:59.999,11813046.2434,-0.015187418975405098,-0.008526426706340268,-0.0066609922690648304
2023-07-27 07:00:00,2.2225,2.2309,2.1901,2.2116,7602868,2023-07-27 07:59:59.999,16790062.1408,-0.018053761794992074,-0.01043189372407063,-0.0076218680709214445
2023-07-27 08:00:00,2.2116,2.2142,2.1532,2.2098,8206686,2023-07-27 08:59:59.999,17941793.9584,-0.020237320849711082,-0.012392979149198721,-0.007844341700512361
2023-07-27 09:00:00,2.2098,2.2482,2.2012,2.2333,7159301,2023-07-27 09:59:59.999,15942826.658,-0.01984281787720077,-0.01388294689479913,-0.005959870982401638
2023-07-27 10:00:00,2.2332,2.248,2.2196,2.2394,4484998,2023-07-27 10:59:59.999,10012265.0589,-0.01882099568646245,-0.014870556653131795,-0.003950439033330654
